mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_max_0,mfcc_max_1,mfcc_max_2,mfcc_max_3,mfcc_max_4,mfcc_max_5,mfcc_max_6,mfcc_max_7,mfcc_max_8,mfcc_max_9,mfcc_max_10,mfcc_max_11,mfcc_max_12,pitch_mean,pitch_std,pitch_max,energy_mean,energy_std,energy_max,zcr_mean,zcr_std,pause_ratio,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,label
-329.7086181640625,68.82943725585938,4.728954315185547,11.95059871673584,5.638881683349609,5.83409309387207,-4.862490653991699,-4.862799167633057,-8.308451652526855,-4.876190662384033,2.3179216384887695,1.2227510213851929,0.5954940319061279,201.42596435546875,76.13047790527344,20.752437591552734,19.421367645263672,17.65256118774414,11.834844589233398,12.014303207397461,13.891215324401855,14.063380241394043,10.692220687866211,10.455301284790039,6.918094635009766,8.251190185546875,-75.96295166015625,196.95556640625,51.734764099121094,72.94244384765625,48.03741455078125,39.020225524902344,20.402328491210938,26.940902709960938,17.482704162597656,12.642660140991211,25.31055450439453,17.552316665649414,31.74317169189453,117.76116943359375,66.33567810058594,389.31231689453125,0.05657930672168732,0.06415501981973648,0.1960168182849884,0.3471008837223053,0.3042474091053009,0.42307692766189575,3113.155517578125,1832.37353515625,5556.80859375,3209.662353515625,2478.72900390625,740.8052978515625,LOW
-346.1871032714844,65.29337310791016,-3.514500617980957,14.551637649536133,6.737838268280029,2.951479196548462,-4.367007732391357,-8.26806640625,-9.74273681640625,-3.713578224182129,3.773646831512451,-0.9587883949279785,-0.26622259616851807,194.0001983642578,74.9435806274414,24.799222946166992,19.133106231689453,17.0996150970459,12.411931991577148,12.440815925598145,12.236286163330078,13.1478910446167,9.5615816116333,10.511813163757324,7.620985984802246,8.008140563964844,-88.1850357055664,189.81625366210938,56.006168365478516,73.46903228759766,65.68692016601562,38.23027038574219,24.1541748046875,16.479930877685547,11.113494873046875,18.24634552001953,30.422374725341797,15.882625579833984,23.98241424560547,121.33480072021484,79.50762939453125,392.9607849121094,0.04244264215230942,0.0550832636654377,0.2090369313955307,0.34131142497062683,0.2801368236541748,0.42774567008018494,3214.00830078125,1795.172119140625,5743.32861328125,3073.21923828125,2465.48291015625,724.2034301757812,LOW
-367.0424499511719,63.11670684814453,-4.388943195343018,12.588353157043457,4.241158962249756,-2.9022610187530518,-5.671872615814209,-6.6233625411987305,-11.53238296508789,-2.380413293838501,-1.2910127639770508,-6.802652359008789,1.1827934980392456,191.6593017578125,68.67935180664062,22.2210693359375,21.270601272583008,18.285112380981445,15.503862380981445,12.400479316711426,12.204158782958984,16.809633255004883,10.542315483093262,10.594507217407227,11.008917808532715,9.2291259765625,-69.76626586914062,215.1835479736328,63.575958251953125,73.21504974365234,39.65755081176758,43.199588775634766,15.289754867553711,24.169940948486328,9.397491455078125,25.405906677246094,20.93890953063965,8.282610893249512,42.28099060058594,151.35635375976562,100.92971801757812,403.3089904785156,0.0424707867205143,0.061661750078201294,0.22412846982479095,0.4068261682987213,0.3163038492202759,0.5333333611488342,3067.91162109375,1516.3416748046875,5914.8837890625,2908.666748046875,2581.125732421875,776.2192993164062,LOW
-377.0494384765625,62.99947738647461,-5.819209575653076,15.460055351257324,6.526637554168701,-1.5888862609863281,-6.597417831420898,-4.806328296661377,-13.67724609375,-1.3645007610321045,0.13336670398712158,-6.366865158081055,3.405447483062744,185.4406280517578,67.9276351928711,27.44672393798828,20.625160217285156,17.871484756469727,17.005107879638672,15.471492767333984,11.885173797607422,19.879638671875,10.606786727905273,8.942715644836426,12.541375160217285,10.7483491897583,-66.0103759765625,212.07867431640625,69.66083526611328,70.12841796875,43.0192756652832,46.58210754394531,25.51948356628418,19.875308990478516,15.496959686279297,23.315637588500977,19.904888153076172,14.281620979309082,47.13587188720703,167.7735595703125,113.56412506103516,399.8969421386719,0.03780925273895264,0.05611131340265274,0.23533686995506287,0.3426464796066284,0.2969287633895874,0.4933333396911621,2897.88232421875,1552.4376220703125,5634.44970703125,2948.210693359375,2486.15380859375,804.306640625,LOW
-362.0733947753906,62.2065315246582,-2.343207836151123,12.916069984436035,1.8241277933120728,-0.17071321606636047,-5.669990062713623,-7.286774158477783,-13.776976585388184,-3.3122005462646484,2.361757278442383,-7.001429557800293,1.930776596069336,183.7450714111328,71.6154556274414,23.431106567382812,19.247224807739258,17.316150665283203,16.750133514404297,12.834376335144043,13.950139045715332,16.9242000579834,11.252881050109863,10.437126159667969,10.05291748046875,9.724645614624023,-83.9868392944336,205.099853515625,62.990013122558594,76.88885498046875,38.33429718017578,43.07598114013672,20.285572052001953,24.873764038085938,9.20058822631836,25.531963348388672,38.34005355834961,4.8840532302856445,45.0184326171875,142.4514923095703,97.86865234375,403.2037353515625,0.044490259140729904,0.06416834890842438,0.23992322385311127,0.3734426200389862,0.28677862882614136,0.5490196347236633,3162.43896484375,1626.92333984375,5921.349609375,2907.5234375,2522.104736328125,765.0426025390625,LOW
-345.3343200683594,57.02252960205078,0.41843968629837036,18.289316177368164,2.6309874057769775,0.4183555543422699,-2.5292725563049316,-6.28470516204834,-13.434196472167969,-3.6181442737579346,0.6169866323471069,-4.589427471160889,2.576322555541992,197.3054656982422,69.85066986083984,22.7253360748291,22.733356475830078,19.45691680908203,18.395830154418945,13.273219108581543,13.348994255065918,18.890230178833008,11.496055603027344,11.457886695861816,11.691516876220703,9.17153263092041,-60.578041076660156,208.8319091796875,63.13219451904297,86.58672332763672,48.18754959106445,46.71493911743164,32.720420837402344,21.33666229248047,10.729196548461914,17.77828598022461,27.612777709960938,16.847156524658203,43.593265533447266,143.3901824951172,104.45738983154297,397.4261474609375,0.0509808287024498,0.06614464521408081,0.22819913923740387,0.400930792093277,0.31020382046699524,0.512499988079071,3184.69287109375,1631.473876953125,5917.2568359375,2784.617919921875,2526.32568359375,751.2120361328125,LOW
-393.24688720703125,49.150779724121094,-5.986515522003174,5.608567714691162,-1.2716360092163086,-1.2067621946334839,-12.037280082702637,-8.814258575439453,-11.101426124572754,-8.968306541442871,-0.6817106604576111,-7.052578449249268,-1.9013769626617432,191.16525268554688,57.889373779296875,22.633562088012695,17.902393341064453,22.436979293823242,14.978099822998047,20.298606872558594,12.559379577636719,13.765852928161621,12.89024543762207,9.271587371826172,11.426950454711914,8.494051933288574,-51.57160186767578,187.728759765625,74.7412109375,77.17266845703125,47.088294982910156,46.863868713378906,19.66126251220703,6.351537704467773,16.591304779052734,18.847332000732422,16.106550216674805,9.873209953308105,28.490381240844727,203.80894470214844,109.30984497070312,400.3374938964844,0.029704414308071136,0.044251345098018646,0.20124877989292145,0.3638739287853241,0.2769987881183624,0.5408805012702942,3169.51171875,1436.8907470703125,6018.25927734375,2698.8798828125,2587.31982421875,614.2952270507812,LOW
-383.4730224609375,54.87593460083008,-11.518559455871582,5.495306015014648,2.415869951248169,-1.8642922639846802,-11.111780166625977,-7.596749782562256,-14.508148193359375,-7.433645248413086,3.2631514072418213,-7.886473655700684,-1.649896502494812,170.34730529785156,56.89417266845703,24.507139205932617,15.915641784667969,21.36764907836914,13.64296817779541,17.47654914855957,12.936150550842285,19.506650924682617,17.009279251098633,9.81501293182373,13.446645736694336,8.938029289245605,-63.62063980102539,195.97415161132812,54.279022216796875,51.063438415527344,41.807952880859375,38.087188720703125,16.594480514526367,23.83481216430664,12.174867630004883,24.641122817993164,24.841520309448242,12.897491455078125,31.877559661865234,192.2154541015625,99.732421875,398.12457275390625,0.028607966378331184,0.04492437466979027,0.22977596521377563,0.262029767036438,0.21214659512043,0.4968152940273285,2615.557861328125,1320.4266357421875,5040.2783203125,2477.6875,2385.448974609375,628.7033081054688,LOW
-314.5650634765625,48.02011489868164,-10.221419334411621,7.831818580627441,-0.17214858531951904,-2.173067331314087,-10.422513008117676,-9.233612060546875,-17.878965377807617,-4.913381099700928,0.00170135498046875,-9.1439208984375,0.11875627934932709,178.14100646972656,59.35209655761719,25.69303321838379,17.1768856048584,20.396303176879883,18.268585205078125,16.54332160949707,14.189691543579102,20.89191246032715,12.084301948547363,11.146794319152832,12.900263786315918,8.559396743774414,-24.23649024963379,183.94813537597656,55.589866638183594,65.64083099365234,38.13569641113281,34.82587432861328,17.943161010742188,22.859037399291992,14.224533081054688,15.140467643737793,30.052209854125977,8.048303604125977,29.397747039794922,145.07916259765625,97.34376525878906,403.0482482910156,0.050722476094961166,0.06775420904159546,0.28832656145095825,0.2926211953163147,0.22574029862880707,0.4941176474094391,2993.617431640625,1366.67578125,5561.646484375,2329.328369140625,2447.2763671875,591.424560546875,LOW
-347.60638427734375,49.672794342041016,-8.996246337890625,6.914048194885254,-1.12400221824646,-3.329547166824341,-9.793233871459961,-9.628173828125,-17.208341598510742,-7.140058994293213,-1.767851710319519,-7.01246976852417,-0.28077155351638794,192.70028686523438,63.136924743652344,26.504995346069336,17.736677169799805,21.183883666992188,17.7844295501709,15.950927734375,15.831578254699707,19.694250106811523,11.913084983825684,8.711881637573242,12.102664947509766,9.091817855834961,-43.31712341308594,192.6229248046875,61.68098449707031,68.51812744140625,45.778961181640625,35.90253448486328,25.3585205078125,23.451887130737305,9.256996154785156,20.58030891418457,21.850902557373047,12.273751258850098,40.58943176269531,160.86941528320312,104.15704345703125,402.5759582519531,0.04247421771287918,0.05573396757245064,0.21903185546398163,0.3424661159515381,0.27921801805496216,0.4941176474094391,3185.799072265625,1560.36474609375,5961.2138671875,2620.951904296875,2534.104736328125,656.3773803710938,LOW
